Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 64089)
rand_mask=b'EI\xec\x8b\x9dT\x86('
masked_addr=b'E\xfd\\(\x9cT\x86('
target_addr=00b4b0a301000000
lowest_message_bit=15
key 0
1: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.094, 0.904, 0.001, 0.000, 0.000], checks for var: 19
6: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.997, 0.002, 0.000, 0.000], checks for var: 19
13: expect=1, actual=np.int64(0), [0.000, 0.000, 0.007, 0.523, 0.466, 0.004, 0.001], checks for var: 20
15: expect=-3, actual=np.int64(-2), [0.325, 0.675, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
17: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.003, 0.997, 0.001, 0.000, 0.000], checks for var: 18
20: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 19
25: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.024, 0.976, 0.000], checks for var: 19
27: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.017, 0.983, 0.000, 0.000], checks for var: 19
36: expect=-1, actual=np.int64(-2), [0.036, 0.808, 0.130, 0.025, 0.000, 0.000, 0.000], checks for var: 19
39: expect=-1, actual=np.int64(-2), [0.000, 0.795, 0.205, 0.000, 0.000, 0.000, 0.000], checks for var: 19
46: expect=-2, actual=np.int64(-3), [0.780, 0.220, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
47: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.012, 0.988], checks for var: 19
50: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.439, 0.561, 0.000, 0.000], checks for var: 18
54: expect=-1, actual=np.int64(-2), [0.000, 0.550, 0.449, 0.001, 0.000, 0.000, 0.000], checks for var: 19
