Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 65077)
rand_mask=b'\xc0v(e\xe1\xff\xc8s'
masked_addr=b'\xc0\xd9\xec\xc6\xe0\xff\xc8s'
target_addr=00afc4a301000000
lowest_message_bit=15
key 0
0: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.012, 0.987, 0.001], checks for var: 20
1: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.009, 0.989, 0.002, 0.000], checks for var: 19
2: expect=0, actual=np.int64(2), [0.000, 0.000, 0.029, 0.010, 0.302, 0.655, 0.004], checks for var: 19
5: expect=0, actual=np.int64(3), [0.004, 0.018, 0.009, 0.023, 0.272, 0.218, 0.456], checks for var: 19
6: expect=-1, actual=np.int64(-2), [0.071, 0.717, 0.193, 0.006, 0.011, 0.002, 0.000], checks for var: 19
7: expect=-1, actual=np.int64(0), [0.000, 0.055, 0.358, 0.587, 0.000, 0.000, 0.000], checks for var: 20
8: expect=-1, actual=np.int64(-2), [0.226, 0.689, 0.085, 0.000, 0.000, 0.000, 0.000], checks for var: 20
9: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.255, 0.745], checks for var: 20
10: expect=0, actual=np.int64(-2), [0.001, 0.987, 0.010, 0.002, 0.000, 0.000, 0.000], checks for var: 19
11: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.239, 0.750, 0.011], checks for var: 20
12: expect=1, actual=np.int64(0), [0.000, 0.000, 0.004, 0.754, 0.061, 0.162, 0.018], checks for var: 19
15: expect=-1, actual=np.int64(-3), [0.554, 0.435, 0.011, 0.000, 0.000, 0.000, 0.000], checks for var: 20
16: expect=-1, actual=np.int64(-2), [0.013, 0.921, 0.058, 0.008, 0.000, 0.000, 0.000], checks for var: 19
17: expect=-1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.191, 0.809], checks for var: 19
18: expect=1, actual=np.int64(-2), [0.018, 0.960, 0.012, 0.009, 0.000, 0.000, 0.000], checks for var: 19
19: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.017, 0.219, 0.764], checks for var: 20
20: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.047, 0.930, 0.023], checks for var: 19
21: expect=0, actual=np.int64(1), [0.000, 0.004, 0.020, 0.025, 0.874, 0.071, 0.004], checks for var: 19
22: expect=0, actual=np.int64(-2), [0.159, 0.812, 0.028, 0.000, 0.000, 0.000, 0.000], checks for var: 20
23: expect=0, actual=np.int64(1), [0.002, 0.013, 0.017, 0.001, 0.662, 0.248, 0.057], checks for var: 20
24: expect=-3, actual=np.int64(-1), [0.002, 0.004, 0.984, 0.001, 0.008, 0.000, 0.000], checks for var: 19
25: expect=2, actual=np.int64(-1), [0.000, 0.005, 0.509, 0.350, 0.135, 0.001, 0.000], checks for var: 20
26: expect=-1, actual=np.int64(-2), [0.003, 0.821, 0.158, 0.018, 0.000, 0.000, 0.000], checks for var: 20
27: expect=1, actual=np.int64(0), [0.001, 0.000, 0.106, 0.479, 0.366, 0.045, 0.003], checks for var: 20
28: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.013, 0.033, 0.955], checks for var: 20
29: expect=0, actual=np.int64(-1), [0.005, 0.030, 0.359, 0.127, 0.334, 0.145, 0.000], checks for var: 19
30: expect=-2, actual=np.int64(-1), [0.001, 0.227, 0.772, 0.000, 0.000, 0.000, 0.000], checks for var: 20
31: expect=0, actual=np.int64(-1), [0.138, 0.073, 0.774, 0.016, 0.000, 0.000, 0.000], checks for var: 19
33: expect=-1, actual=np.int64(-2), [0.002, 0.553, 0.388, 0.056, 0.001, 0.000, 0.000], checks for var: 20
37: expect=-1, actual=np.int64(-2), [0.001, 0.825, 0.174, 0.000, 0.000, 0.000, 0.000], checks for var: 20
43: expect=-1, actual=np.int64(-2), [0.072, 0.700, 0.165, 0.062, 0.001, 0.000, 0.000], checks for var: 20
44: expect=2, actual=np.int64(1), [0.000, 0.000, 0.001, 0.087, 0.905, 0.008, 0.000], checks for var: 20
45: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.002, 0.995, 0.003], checks for var: 19
47: expect=2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.998, 0.001, 0.000, 0.000], checks for var: 20
48: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.068, 0.757, 0.174], checks for var: 19
50: expect=-1, actual=np.int64(-2), [0.060, 0.933, 0.005, 0.003, 0.000, 0.000, 0.000], checks for var: 19
51: expect=-1, actual=np.int64(-2), [0.021, 0.880, 0.099, 0.000, 0.000, 0.000, 0.000], checks for var: 20
52: expect=-2, actual=np.int64(-3), [0.969, 0.025, 0.006, 0.000, 0.000, 0.000, 0.000], checks for var: 19
53: expect=1, actual=np.int64(-1), [0.000, 0.021, 0.686, 0.039, 0.249, 0.002, 0.002], checks for var: 20
54: expect=1, actual=np.int64(0), [0.000, 0.001, 0.009, 0.785, 0.192, 0.013, 0.000], checks for var: 19
59: expect=1, actual=np.int64(-1), [0.001, 0.042, 0.329, 0.145, 0.214, 0.188, 0.082], checks for var: 20
60: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.157, 0.215, 0.628], checks for var: 20
63: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.670, 0.193, 0.136, 0.001], checks for var: 20
64: expect=0, actual=np.int64(-1), [0.001, 0.010, 0.653, 0.336, 0.000, 0.000, 0.000], checks for var: 19
65: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.663, 0.298, 0.039, 0.000], checks for var: 20
66: expect=-2, actual=np.int64(-1), [0.014, 0.236, 0.561, 0.159, 0.030, 0.000, 0.000], checks for var: 20
67: expect=1, actual=np.int64(0), [0.000, 0.000, 0.008, 0.908, 0.082, 0.002, 0.000], checks for var: 19
69: expect=-1, actual=np.int64(0), [0.000, 0.030, 0.091, 0.879, 0.000, 0.000, 0.000], checks for var: 19
73: expect=0, actual=np.int64(3), [0.002, 0.187, 0.220, 0.049, 0.074, 0.180, 0.287], checks for var: 20
74: expect=0, actual=np.int64(-1), [0.006, 0.137, 0.839, 0.018, 0.000, 0.001, 0.000], checks for var: 19
75: expect=2, actual=np.int64(1), [0.001, 0.001, 0.010, 0.432, 0.507, 0.049, 0.000], checks for var: 20
76: expect=0, actual=np.int64(2), [0.000, 0.004, 0.038, 0.055, 0.136, 0.555, 0.212], checks for var: 20
77: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.002, 0.003, 0.015, 0.980], checks for var: 20
78: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.002, 0.014, 0.950, 0.034], checks for var: 19
79: expect=3, actual=np.int64(-2), [0.098, 0.891, 0.010, 0.001, 0.000, 0.000, 0.000], checks for var: 20
81: expect=-2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.009, 0.292, 0.698], checks for var: 20
84: expect=0, actual=np.int64(1), [0.000, 0.006, 0.040, 0.228, 0.693, 0.031, 0.002], checks for var: 20
85: expect=-2, actual=np.int64(-3), [0.797, 0.190, 0.012, 0.000, 0.000, 0.000, 0.000], checks for var: 19
87: expect=0, actual=np.int64(1), [0.000, 0.005, 0.015, 0.100, 0.830, 0.046, 0.003], checks for var: 20
89: expect=-1, actual=np.int64(0), [0.001, 0.208, 0.347, 0.414, 0.023, 0.003, 0.004], checks for var: 20
90: expect=2, actual=np.int64(-1), [0.005, 0.046, 0.941, 0.002, 0.000, 0.004, 0.002], checks for var: 19
91: expect=-1, actual=np.int64(-2), [0.001, 0.711, 0.051, 0.127, 0.103, 0.005, 0.001], checks for var: 20
94: expect=-1, actual=np.int64(-2), [0.003, 0.972, 0.025, 0.000, 0.000, 0.000, 0.000], checks for var: 19
96: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.008, 0.976, 0.001, 0.015], checks for var: 19
98: expect=-1, actual=np.int64(-2), [0.000, 0.486, 0.333, 0.179, 0.002, 0.000, 0.000], checks for var: 20
99: expect=-1, actual=np.int64(-2), [0.009, 0.818, 0.173, 0.000, 0.000, 0.000, 0.000], checks for var: 20
100: expect=-3, actual=np.int64(-2), [0.405, 0.574, 0.021, 0.001, 0.000, 0.000, 0.000], checks for var: 20
107: expect=2, actual=np.int64(-2), [0.060, 0.553, 0.386, 0.000, 0.000, 0.000, 0.000], checks for var: 20
109: expect=1, actual=np.int64(0), [0.000, 0.000, 0.059, 0.929, 0.010, 0.001, 0.000], checks for var: 18
110: expect=1, actual=np.int64(0), [0.000, 0.004, 0.045, 0.658, 0.271, 0.021, 0.000], checks for var: 20
112: expect=-2, actual=np.int64(3), [0.001, 0.001, 0.006, 0.060, 0.304, 0.206, 0.422], checks for var: 20
113: expect=-1, actual=np.int64(-2), [0.006, 0.677, 0.036, 0.280, 0.001, 0.000, 0.000], checks for var: 20
114: expect=2, actual=np.int64(1), [0.000, 0.002, 0.070, 0.051, 0.815, 0.058, 0.005], checks for var: 20
116: expect=1, actual=np.int64(-2), [0.007, 0.296, 0.269, 0.159, 0.261, 0.007, 0.000], checks for var: 20
117: expect=2, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.006, 0.994], checks for var: 20
118: expect=-3, actual=np.int64(-2), [0.018, 0.914, 0.056, 0.008, 0.002, 0.001, 0.000], checks for var: 20
119: expect=1, actual=np.int64(-2), [0.077, 0.912, 0.011, 0.000, 0.000, 0.000, 0.000], checks for var: 19
120: expect=1, actual=np.int64(-1), [0.000, 0.022, 0.611, 0.343, 0.018, 0.004, 0.001], checks for var: 20
121: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.059, 0.711, 0.230], checks for var: 20
122: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.000, 0.014, 0.985], checks for var: 19
123: expect=1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.002, 0.026, 0.270, 0.703], checks for var: 20
124: expect=2, actual=np.int64(3), [0.000, 0.003, 0.002, 0.464, 0.030, 0.024, 0.477], checks for var: 19
125: expect=-3, actual=np.int64(-2), [0.353, 0.646, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 20
126: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.997, 0.002, 0.000, 0.000], checks for var: 19
127: expect=1, actual=np.int64(0), [0.000, 0.000, 0.018, 0.961, 0.022, 0.000, 0.000], checks for var: 20
129: expect=0, actual=np.int64(1), [0.000, 0.000, 0.001, 0.122, 0.855, 0.022, 0.000], checks for var: 20
130: expect=-1, actual=np.int64(1), [0.000, 0.052, 0.109, 0.045, 0.780, 0.014, 0.000], checks for var: 20
131: expect=0, actual=np.int64(-1), [0.000, 0.005, 0.802, 0.193, 0.000, 0.000, 0.000], checks for var: 19
135: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.015, 0.843, 0.114, 0.027, 0.000], checks for var: 20
136: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.005, 0.189, 0.806], checks for var: 20
137: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.126, 0.282, 0.568, 0.020, 0.003], checks for var: 20
139: expect=0, actual=np.int64(-2), [0.092, 0.906, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 20
141: expect=1, actual=np.int64(0), [0.000, 0.000, 0.028, 0.968, 0.003, 0.000, 0.000], checks for var: 20
142: expect=1, actual=np.int64(-2), [0.014, 0.972, 0.014, 0.000, 0.000, 0.000, 0.000], checks for var: 20
144: expect=0, actual=np.int64(-1), [0.002, 0.032, 0.920, 0.039, 0.007, 0.000, 0.000], checks for var: 19
145: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.581, 0.378, 0.040, 0.000], checks for var: 19
146: expect=1, actual=np.int64(-1), [0.000, 0.032, 0.947, 0.020, 0.001, 0.000, 0.000], checks for var: 20
148: expect=1, actual=np.int64(-2), [0.001, 0.319, 0.248, 0.050, 0.146, 0.225, 0.011], checks for var: 20
149: expect=0, actual=np.int64(-1), [0.002, 0.030, 0.966, 0.001, 0.002, 0.000, 0.000], checks for var: 19
150: expect=1, actual=np.int64(-1), [0.242, 0.167, 0.589, 0.001, 0.000, 0.000, 0.000], checks for var: 19
151: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.989, 0.010, 0.000], checks for var: 19
152: expect=0, actual=np.int64(-3), [0.795, 0.199, 0.005, 0.001, 0.000, 0.000, 0.000], checks for var: 19
153: expect=-1, actual=np.int64(-3), [0.442, 0.105, 0.442, 0.011, 0.000, 0.000, 0.000], checks for var: 19
155: expect=0, actual=np.int64(1), [0.000, 0.002, 0.032, 0.025, 0.765, 0.158, 0.018], checks for var: 19
156: expect=-1, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.317, 0.682], checks for var: 20
157: expect=-1, actual=np.int64(-3), [0.913, 0.087, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
158: expect=1, actual=np.int64(-1), [0.000, 0.000, 0.997, 0.002, 0.001, 0.000, 0.000], checks for var: 19
161: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.989, 0.009, 0.000, 0.000], checks for var: 20
162: expect=1, actual=np.int64(2), [0.000, 0.000, 0.001, 0.195, 0.167, 0.528, 0.110], checks for var: 20
163: expect=-2, actual=np.int64(-1), [0.000, 0.062, 0.923, 0.013, 0.001, 0.000, 0.000], checks for var: 19
165: expect=1, actual=np.int64(-1), [0.002, 0.088, 0.909, 0.001, 0.000, 0.000, 0.000], checks for var: 20
168: expect=-1, actual=np.int64(0), [0.000, 0.039, 0.091, 0.831, 0.022, 0.017, 0.001], checks for var: 20
170: expect=0, actual=np.int64(-2), [0.137, 0.860, 0.002, 0.000, 0.000, 0.000, 0.000], checks for var: 20
171: expect=2, actual=np.int64(1), [0.000, 0.000, 0.001, 0.006, 0.990, 0.003, 0.000], checks for var: 19
174: expect=0, actual=np.int64(-1), [0.014, 0.075, 0.739, 0.139, 0.021, 0.009, 0.002], checks for var: 20
