Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62831)
rand_mask=b'U-\x8e\xb6\xc8\xfd\x06y'
masked_addr=b'UI,\x15\xc9\xfd\x06y'
target_addr=0064a2a301000000
lowest_message_bit=14
key 0
0: expect=2, actual=np.int64(0), [0.000, 0.000, 0.003, 0.996, 0.000, 0.000, 0.000], checks for var: 9
2: expect=2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
3: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
4: expect=1, actual=np.int64(0), [0.001, 0.007, 0.027, 0.963, 0.001, 0.000, 0.000], checks for var: 11
5: expect=0, actual=np.int64(1), [0.001, 0.041, 0.006, 0.008, 0.935, 0.010, 0.000], checks for var: 14
6: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
7: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.990, 0.008, 0.001, 0.000], checks for var: 12
8: expect=1, actual=np.int64(-1), [0.000, 0.000, 0.592, 0.395, 0.010, 0.003, 0.000], checks for var: 13
9: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.856, 0.144, 0.000, 0.000], checks for var: 12
11: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
12: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.040, 0.957, 0.003, 0.000, 0.000], checks for var: 10
13: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
14: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 10
15: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.915, 0.084, 0.000, 0.000], checks for var: 12
16: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 11
17: expect=-3, actual=np.int64(1), [0.000, 0.000, 0.000, 0.281, 0.719, 0.000, 0.000], checks for var: 14
18: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 0.792, 0.150, 0.059, 0.000], checks for var: 18
19: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
20: expect=3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
21: expect=1, actual=np.int64(0), [0.000, 0.000, 0.013, 0.987, 0.000, 0.000, 0.000], checks for var: 16
24: expect=1, actual=np.int64(0), [0.000, 0.000, 0.002, 0.996, 0.002, 0.000, 0.000], checks for var: 10
25: expect=-3, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 10
26: expect=-1, actual=np.int64(0), [0.000, 0.001, 0.003, 0.995, 0.000, 0.000, 0.000], checks for var: 9
28: expect=2, actual=np.int64(0), [0.000, 0.001, 0.026, 0.974, 0.000, 0.000, 0.000], checks for var: 9
29: expect=1, actual=np.int64(0), [0.000, 0.000, 0.043, 0.956, 0.000, 0.000, 0.000], checks for var: 12
30: expect=1, actual=np.int64(0), [0.000, 0.000, 0.001, 0.982, 0.017, 0.000, 0.000], checks for var: 12
31: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.819, 0.176, 0.004, 0.000], checks for var: 11
32: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 9
33: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.999, 0.001, 0.000, 0.000], checks for var: 14
35: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 14
36: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 13
37: expect=2, actual=np.int64(0), [0.000, 0.001, 0.056, 0.938, 0.003, 0.001, 0.000], checks for var: 7
38: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 12
40: expect=-2, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
43: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 8
