Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 49584)
rand_mask=b'\xfe\xa6\xc4\xd8O8XO'
masked_addr=b'\xfe\x01f{N8XO'
target_addr=00a7a2a301000000
lowest_message_bit=15
key 0
0: expect=0, actual=np.int64(3), [0.000, 0.000, 0.000, 0.000, 0.001, 0.026, 0.973], checks for var: 19
1: expect=0, actual=np.int64(-2), [0.010, 0.990, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
2: expect=1, actual=np.int64(-1), [0.001, 0.012, 0.858, 0.128, 0.000, 0.000, 0.000], checks for var: 19
3: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000], checks for var: 19
6: expect=0, actual=np.int64(-2), [0.420, 0.580, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
7: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.000, 0.999, 0.001], checks for var: 19
9: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 18
11: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.001, 0.000, 0.048, 0.890, 0.062], checks for var: 19
12: expect=-2, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
13: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.998, 0.002, 0.000], checks for var: 19
14: expect=2, actual=np.int64(0), [0.000, 0.000, 0.001, 0.999, 0.000, 0.000, 0.000], checks for var: 19
15: expect=1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.952, 0.048, 0.000, 0.000], checks for var: 18
16: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.998, 0.002, 0.000], checks for var: 19
17: expect=2, actual=np.int64(0), [0.000, 0.000, 0.004, 0.995, 0.001, 0.000, 0.000], checks for var: 19
19: expect=-2, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.016, 0.984, 0.000], checks for var: 20
20: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.347, 0.652, 0.001], checks for var: 18
21: expect=-2, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 0.901, 0.098, 0.002], checks for var: 19
23: expect=1, actual=np.int64(-1), [0.000, 0.002, 0.501, 0.314, 0.000, 0.143, 0.040], checks for var: 20
24: expect=-2, actual=np.int64(-3), [1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 18
25: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.007, 0.990, 0.003, 0.000], checks for var: 19
27: expect=0, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.101, 0.893, 0.005], checks for var: 20
28: expect=1, actual=np.int64(-2), [0.026, 0.974, 0.001, 0.000, 0.000, 0.000, 0.000], checks for var: 19
29: expect=0, actual=np.int64(-1), [0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000], checks for var: 17
30: expect=-1, actual=np.int64(1), [0.000, 0.000, 0.000, 0.000, 1.000, 0.000, 0.000], checks for var: 19
