Setting QOS class to user-interactive
Theory suggest that the minimum number of calls is 1674.1539623687893
Kyber-oracle server ready on 127.0.0.1:3334, waiting for Rust…
Rust oracle connected from ('127.0.0.1', 62923)
rand_mask=b'V2R\xcc\x9b!El'
masked_addr=b'V\x87\xffo\x9a!El'
target_addr=00b5ada301000000
lowest_message_bit=15
key 0
1: expect=-2, actual=np.int64(-3), [0.928, 0.072, 0.000, 0.000, 0.000, 0.000, 0.000], checks for var: 19
2: expect=-3, actual=np.int64(-2), [0.059, 0.808, 0.071, 0.062, 0.000, 0.000, 0.000], checks for var: 16
5: expect=1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.001, 0.443, 0.552, 0.004], checks for var: 17
6: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.010, 0.990, 0.000, 0.000, 0.000], checks for var: 19
7: expect=0, actual=np.int64(-1), [0.000, 0.041, 0.925, 0.030, 0.000, 0.001, 0.001], checks for var: 19
11: expect=0, actual=np.int64(-2), [0.000, 0.997, 0.003, 0.000, 0.000, 0.000, 0.000], checks for var: 19
14: expect=-1, actual=np.int64(0), [0.000, 0.009, 0.307, 0.683, 0.000, 0.000, 0.000], checks for var: 18
16: expect=-1, actual=np.int64(-2), [0.062, 0.935, 0.003, 0.000, 0.000, 0.000, 0.000], checks for var: 19
17: expect=-1, actual=np.int64(0), [0.000, 0.000, 0.000, 0.948, 0.045, 0.005, 0.001], checks for var: 19
18: expect=0, actual=np.int64(-1), [0.000, 0.008, 0.982, 0.006, 0.001, 0.002, 0.000], checks for var: 18
20: expect=1, actual=np.int64(0), [0.001, 0.001, 0.041, 0.926, 0.030, 0.002, 0.000], checks for var: 19
22: expect=-1, actual=np.int64(1), [0.000, 0.336, 0.111, 0.115, 0.437, 0.000, 0.000], checks for var: 20
23: expect=0, actual=np.int64(1), [0.000, 0.000, 0.000, 0.001, 0.999, 0.000, 0.000], checks for var: 16
24: expect=-2, actual=np.int64(-1), [0.000, 0.002, 0.925, 0.068, 0.004, 0.000, 0.000], checks for var: 18
30: expect=1, actual=np.int64(0), [0.000, 0.000, 0.100, 0.829, 0.071, 0.000, 0.000], checks for var: 20
31: expect=-1, actual=np.int64(2), [0.000, 0.000, 0.000, 0.000, 0.009, 0.991, 0.000], checks for var: 19
